"","country","ccode","year","month","dates","elecViolence1","l.elecViolence1","elecViolence2","l.elecViolence2","anticipation","regimetenure","lastelection","pcgdp","growth","logIMR","lnpop2","logpredict","SPI","lexconst","lpolity2","lpolcomp","tae1","nvio1","tae2","nvio2","political_violence"
"819","Finland",375,2012,1,"1/22/2012","peace",0,"peace",0,0,8,2.302585125,47553.39844,0.933148146,0.788457394,74.07607269,4.26e-05,0.902350718,7,10,10,20,0,20,0,-0.360058277845383
"820","Finland",375,2018,1,"1/28/2018","peace",0,"peace",0,0,33,3.526360512,49206.64844,1.076899409,0.641853869,74.75436984,0.000404949,-0.753346361,7,10,10,23,0,23,0,-0.353966176509857
"821","Finland",375,1994,2,"2/6/1994","peace",0,"peace",0,1,150,0,21534,1.064852476,1.504077435,72.83796692,0.000535787,-0.680943005,7,10,10,10,0,10,0,-0.360058277845383
"822","Finland",375,2000,2,"2/6/2000","peace",0,"peace",0,1,72,0,24347.4707,0.927778244,1.252762914,73.12768555,3.42e-05,0.018372663,7,10,10,14,0,14,0,-0.360058277845383
"823","Finland",375,2012,2,"2/5/2012","peace",0,"peace",0,0,9,2.397895336,47553.39844,0.933148146,0.788457394,74.07607269,4.28e-05,0.735229171,7,10,10,21,0,21,0,-0.360058277845383
"824","Finland",375,1979,3,"3/18/1979","peace",0,"peace",0,0,277,2.708050251,8629.080078,1.183324695,2.028148174,71.72058105,2.82e-05,0.210411164,7,10,10,3,0,3,0,-0.360058277845383
"825","Finland",375,1983,3,"3/20/1983","peace",0,"peace",0,0,19,2.708050251,8718.660156,0.993175387,1.840549707,72.03942108,0.000134914,0.660835297,7,10,10,5,0,5,0,-0.360058277845383
"826","Finland",375,1987,3,"3/15/1987","peace",0,"peace",0,0,67,4.143134594,15800.11035,1.265214324,1.774952412,72.33062744,0.000775123,0.003291091,7,10,10,6,0,6,0,-0.360058277845383
"827","Finland",375,1991,3,"3/17/1991","peace",0,"peace",0,0,115,3.663561583,22009.09961,0.925706983,1.667706847,72.5771637,0.001192206,-1.910662902,7,10,10,8,0,8,0,-0.360058277845383
"828","Finland",375,1995,3,"3/19/1995","peace",0,"peace",0,0,13,2.639057398,25642.98047,1.190813661,1.458615065,72.90974426,5.6e-05,-0.447386725,7,10,10,11,0,11,0,-0.360058277845383
"829","Finland",375,1999,3,"3/21/1999","peace",0,"peace",0,0,61,4.127134323,26242.76953,1.007268548,1.280933857,73.09004211,6.04e-05,0.428829882,7,10,10,12,0,12,0,-0.360058277845383
